path,audio,transcription,english_transcription,intent_class,lang_id,similarity,tts_time
C:\Users\spn\.cache\huggingface\datasets\downloads\extracted\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\es-ES~APP_ERROR\60266571dc3604f481bcb50a.wav,"{'path': 'C:\\Users\\spn\\.cache\\huggingface\\datasets\\downloads\\extracted\\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\\es-ES~APP_ERROR\\60266571dc3604f481bcb50a.wav', 'array': array([ 0.        ,  0.        ,  0.        , ...,  0.        ,
       -0.00024414, -0.00024414]), 'sampling_rate': 8000}",hola buenas a ver tengo un problema con vuestra aplicación resulta que quiero hacer una transferencia bancaria a una cuenta conocida,hello good to see I have a problem with your application it turns out that I want to make a bank transfer to a known account,2,5,0.8332499861717224,16.064921617507935
C:\Users\spn\.cache\huggingface\datasets\downloads\extracted\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\es-ES~APP_ERROR\6026655bdc3604f481bcb4fa.wav,"{'path': 'C:\\Users\\spn\\.cache\\huggingface\\datasets\\downloads\\extracted\\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\\es-ES~APP_ERROR\\6026655bdc3604f481bcb4fa.wav', 'array': array([0.        , 0.        , 0.        , ..., 0.        , 0.        ,
       0.00024414]), 'sampling_rate': 8000}",la aplicación no cargue el saldo de mi nueva cuenta,the application does not load the balance of my new account,2,5,0.828039288520813,8.069840431213379
C:\Users\spn\.cache\huggingface\datasets\downloads\extracted\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\es-ES~APP_ERROR\6026655cdc3604f481bcb4fb.wav,"{'path': 'C:\\Users\\spn\\.cache\\huggingface\\datasets\\downloads\\extracted\\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\\es-ES~APP_ERROR\\6026655cdc3604f481bcb4fb.wav', 'array': array([0.        , 0.        , 0.        , ..., 0.00024414, 0.        ,
       0.        ]), 'sampling_rate': 8000}",hola tengo un problema con la aplicación no carga y tampoco voy a quitar Gael saldo de mi cuenta nueva dice que la aplicación está siendo reparada y ahora no puedo acceder a mi cuenta necesito inmediatamente,hello I have a problem with the application does not load and I will not remove Gael balance from my new account says that the application is being repaired and now I can not access my account I need immediately,2,5,0.884998083114624,26.736424446105957
C:\Users\spn\.cache\huggingface\datasets\downloads\extracted\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\es-ES~APP_ERROR\602660c0c7abb7f832138160.wav,"{'path': 'C:\\Users\\spn\\.cache\\huggingface\\datasets\\downloads\\extracted\\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\\es-ES~APP_ERROR\\602660c0c7abb7f832138160.wav', 'array': array([0.00024414, 0.        , 0.        , ..., 0.        , 0.        ,
       0.00024414]), 'sampling_rate': 8000}",hola buena la aplicación no se carga el saldo de mi cuenta nueva y sí que la voy a decir está siendo reparado y yo no puedo acceder a mi cuenta,hello good the application does not load the balance of my new account and yes I am going to say it is being repaired and I can not access my account,2,5,0.8986448049545288,17.928885459899902
C:\Users\spn\.cache\huggingface\datasets\downloads\extracted\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\es-ES~APP_ERROR\60266199c7abb7f83213819f.wav,"{'path': 'C:\\Users\\spn\\.cache\\huggingface\\datasets\\downloads\\extracted\\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\\es-ES~APP_ERROR\\60266199c7abb7f83213819f.wav', 'array': array([ 0.        ,  0.        ,  0.        , ...,  0.        ,
        0.        , -0.00024414]), 'sampling_rate': 8000}",bueno pues resulta que la aplicación no se actualiza cuando cuando he introducido saldo de la nueva cuenta y me dice que ahora mismo no está disponible que no puedo acceder a mi cuenta,"Well, it turns out that the application is not updated when when I have entered the balance of the new account and it tells me that right now it is not available that I cannot access my account",2,5,0.8892210125923157,24.71919322013855
C:\Users\spn\.cache\huggingface\datasets\downloads\extracted\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\es-ES~APP_ERROR\60266095dc3604f481bcb341.wav,"{'path': 'C:\\Users\\spn\\.cache\\huggingface\\datasets\\downloads\\extracted\\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\\es-ES~APP_ERROR\\60266095dc3604f481bcb341.wav', 'array': array([ 0.00024414,  0.        ,  0.        , ..., -0.0012207 ,
       -0.00048828, -0.00195312]), 'sampling_rate': 8000}",hola buenos días verás es que no puedo acceder a mi cuenta la aplicación no funciona bien no sé qué pasa que intento meterme en mi saldo y demás pero no no carga no funciona,hello good morning you will see is that I can not access my account the application does not work well I do not know what happens I try to enter my balance and others but no it does not load it does not work,2,5,0.8603322505950928,30.385871410369873
C:\Users\spn\.cache\huggingface\datasets\downloads\extracted\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\es-ES~APP_ERROR\6026623fc7abb7f8321381e0.wav,"{'path': 'C:\\Users\\spn\\.cache\\huggingface\\datasets\\downloads\\extracted\\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\\es-ES~APP_ERROR\\6026623fc7abb7f8321381e0.wav', 'array': array([ 0.        ,  0.00024414,  0.        , ..., -0.00073242,
       -0.00073242, -0.00073242]), 'sampling_rate': 8000}",hola tengo problema con la aplicación,hello I have a problem with the application,2,5,0.8498461246490479,5.0636091232299805
C:\Users\spn\.cache\huggingface\datasets\downloads\extracted\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\es-ES~APP_ERROR\6026637ec7abb7f8321382a1.wav,"{'path': 'C:\\Users\\spn\\.cache\\huggingface\\datasets\\downloads\\extracted\\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\\es-ES~APP_ERROR\\6026637ec7abb7f8321382a1.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 8000}",hola buenos días quería informar porque no me funciona la app del banco si dice que no me carga si vale vale muchas gracias,"Hello, good morning, I wanted to inform you because the bank app does not work for me if it says that it does not charge me if it is worth it, thank you very much",2,5,0.7964410185813904,14.809678077697754
C:\Users\spn\.cache\huggingface\datasets\downloads\extracted\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\es-ES~APP_ERROR\602661f2c7abb7f8321381c2.wav,"{'path': 'C:\\Users\\spn\\.cache\\huggingface\\datasets\\downloads\\extracted\\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\\es-ES~APP_ERROR\\602661f2c7abb7f8321381c2.wav', 'array': array([ 0.        , -0.00024414, -0.00024414, ...,  0.        ,
        0.        ,  0.        ]), 'sampling_rate': 8000}",intentando acceder a la aplicación de cargar correctamente,trying to access the application to load correctly,2,5,0.8766325116157532,7.345190525054932
C:\Users\spn\.cache\huggingface\datasets\downloads\extracted\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\es-ES~APP_ERROR\602663acc7abb7f8321382c7.wav,"{'path': 'C:\\Users\\spn\\.cache\\huggingface\\datasets\\downloads\\extracted\\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\\es-ES~APP_ERROR\\602663acc7abb7f8321382c7.wav', 'array': array([0.        , 0.        , 0.        , ..., 0.00024414, 0.        ,
       0.        ]), 'sampling_rate': 8000}",tengo un problema cuando entra en la aplicación no puedo ver los últimos movimientos de mi cuenta,I have a problem when I enter the application I cannot see the last movements of my account,2,5,0.8917795419692993,12.394818782806396
